Date,Open,High,Low,Close,Volume
2018-01-01,1054.98,1071.92,1035.52,1053.89,3112674.0
2018-01-02,1052.48,1059.11,1046.36,1052.68,1009034.0
2018-01-03,1049.35,1068.81,1040.07,1053.22,2887634.0
2018-01-04,1044.79,1045.55,1034.76,1041.43,3614959.0
2018-01-05,1052.28,1063.72,1040.62,1051.85,1312100.0
2018-01-08,1061.43,1072.68,1040.41,1058.64,1382500.0
2018-01-09,1060.6,1080.21,1050.06,1063.22,1290167.0
2018-01-10,1061.73,1076.28,1061.27,1066.71,3376436.0
2018-01-11,1052.69,1067.69,1041.64,1054.2,3206459.0
2018-01-12,1042.64,1055.91,1035.65,1045.01,3438091.0
2018-01-15,1038.29,1049.96,1017.81,1035.74,3587276.0
2018-01-16,1038.49,1044.34,1037.89,1039.95,1962245.0
2018-01-17,1050.88,1061.83,1040.98,1051.44,1181688.0
2018-01-18,1061.5,1080.97,1047.35,1063.75,2662143.0
2018-01-19,1078.08,1098.14,1072.91,1082.66,3437835.0
2018-01-22,1066.83,1073.39,1062.1,1067.64,3660913.0
2018-01-23,1052.06,1064.88,1047.34,1054.65,2594740.0
2018-01-24,1061.26,1065.62,1043.71,1057.32,1676189.0
2018-01-25,1048.72,1056.04,1041.81,1048.76,2436688.0
2018-01-26,1036.98,1037.28,1033.0,1035.27,3188914.0
2018-01-29,1043.37,1063.68,1039.64,1049.02,1417851.0
2018-01-30,1050.41,1066.48,1045.69,1053.95,3211784.0
2018-01-31,1059.99,1070.12,1045.55,1057.81,3654474.0
2018-02-01,1064.84,1069.04,1043.06,1058.29,2319537.0
2018-02-02,1054.04,1062.26,1048.2,1054.72,3229620.0
2018-02-05,1040.12,1048.37,1026.11,1036.98,3785834.0
2018-02-06,1048.42,1061.59,1030.61,1046.76,2389145.0
2018-02-07,1036.73,1049.76,1025.64,1037.67,2278281.0
2018-02-08,1029.76,1034.78,1012.92,1024.97,3351289.0
2018-02-09,1031.05,1045.07,1022.36,1032.47,2969754.0
2018-02-12,1045.76,1063.87,1042.61,1051.3,1658271.0
2018-02-13,1043.96,1054.31,1042.37,1046.76,1829609.0
2018-02-14,1050.17,1064.0,1045.49,1053.82,2174701.0
2018-02-15,1064.92,1083.72,1062.51,1069.85,2403440.0
2018-02-16,1080.81,1090.22,1065.24,1077.65,2666212.0
2018-02-19,1081.84,1093.51,1072.53,1081.63,3054175.0
2018-02-20,1072.7,1088.62,1069.18,1076.07,1944047.0
2018-02-21,1073.45,1088.12,1072.56,1077.22,3149204.0
2018-02-22,1082.73,1100.77,1080.12,1087.12,1654339.0
2018-02-23,1084.48,1093.0,1078.8,1088.04,3324175.0
2018-02-26,1096.12,1100.12,1080.81,1091.62,2066614.0
2018-02-27,1089.59,1103.12,1086.94,1092.69,2308404.0
2018-02-28,1091.18,1091.71,1079.34,1086.63,3052731.0
2018-03-01,1086.87,1093.61,1068.07,1082.25,1695347.0
2018-03-02,1073.16,1084.97,1067.3,1075.35,3180532.0
2018-03-05,1085.15,1105.63,1078.36,1089.87,2351518.0
2018-03-06,1091.04,1099.12,1085.82,1093.04,1862553.0
2018-03-07,1081.12,1099.34,1081.02,1092.83,3098882.0
2018-03-08,1094.8,1099.97,1089.38,1095.23,2129127.0
2018-03-09,1108.12,1117.44,1097.12,1109.58,3068139.0
2018-03-12,1103.69,1124.9,1103.68,1116.36,2145474.0
2018-03-13,1114.22,1119.28,1097.84,1109.23,2756089.0
2018-03-14,1117.8,1133.42,1116.03,1122.5,2133593.0
2018-03-15,1126.58,1132.14,1117.13,1123.78,2657587.0
2018-03-16,1119.92,1134.16,1116.35,1124.01,2701387.0
2018-03-19,1116.74,1117.84,1099.45,1110.37,2204531.0
2018-03-20,1108.04,1118.84,1102.07,1103.26,2392175.0
2018-03-21,1102.49,1117.37,1101.7,1105.85,3034711.0
2018-03-22,1093.31,1095.21,1077.35,1086.32,2778538.0
2018-03-23,1089.71,1090.66,1068.27,1082.9,2911793.0
2018-03-26,1097.8,1109.02,1088.78,1098.6,3079232.0
2018-03-27,1106.3,1110.21,1072.0,1095.32,2428469.0
2018-03-28,1084.92,1097.26,1067.12,1082.34,2904633.0
2018-03-29,1094.73,1101.24,1083.45,1096.6,1928366.0
2018-03-30,1092.34,1092.77,1080.16,1088.58,2428389.0
2018-04-02,1080.57,1087.16,1063.89,1076.53,3214424.0
2018-04-03,1078.3,1097.06,1075.53,1086.35,2180671.0
2018-04-04,1072.49,1096.21,1071.72,1086.86,2489744.0
2018-04-05,1097.55,1110.57,1096.12,1104.03,2317608.0
2018-04-06,1089.35,1090.92,1072.21,1082.34,2784212.0
2018-04-09,1090.6,1106.18,1086.41,1095.0,2088741.0
2018-04-10,1107.85,1110.94,1095.24,1102.76,2070275.0
2018-04-11,1097.48,1107.12,1092.94,1099.12,1710824.0
2018-04-12,1108.08,1113.31,1100.86,1108.05,1712288.0
2018-04-13,1111.14,1125.22,1105.83,1113.36,2293588.0
2018-04-16,1119.78,1137.12,1117.19,1127.63,1720285.0
2018-04-17,1127.72,1132.21,1114.58,1124.65,1822404.0
2018-04-18,1117.47,1134.79,1117.32,1128.6,2054060.0
2018-04-19,1118.37,1122.49,1096.2,1112.03,2248369.0
2018-04-20,1110.85,1115.17,1088.53,1104.65,2536333.0
2018-04-23,1098.58,1098.92,1077.63,1088.93,3009175.0
2018-04-24,1079.44,1087.66,1066.34,1077.79,2986136.0
2018-04-25,1084.0,1099.64,1081.73,1090.12,2407485.0
2018-04-26,1098.17,1107.34,1087.2,1097.12,2144307.0
2018-04-27,1101.91,1117.12,1101.18,1109.4,2333399.0
2018-04-30,1099.66,1102.85,1090.05,1097.02,2358022.0
2018-05-01,1102.17,1117.63,1092.12,1103.71,1909732.0
2018-05-02,1089.93,1103.52,1088.21,1096.12,1915903.0
2018-05-03,1081.67,1083.56,1068.32,1076.82,2265123.0
2018-05-04,1079.04,1090.18,1074.12,1081.42,2065478.0
2018-05-07,1088.12,1104.88,1088.04,1097.01,1824478.0
2018-05-08,1092.91,1105.16,1092.2,1099.05,1515752.0
2018-05-09,1110.31,1112.21,1104.48,1109.05,1623979.0
2018-05-10,1114.15,1123.97,1114.04,1119.6,1634266.0
2018-05-11,1111.76,1120.77,1107.63,1114.37,1504865.0
2018-05-14,1114.37,1122.28,1109.75,1114.73,1405151.0
2018-05-15,1108.96,1110.72,1100.04,1107.27,2150795.0
2018-05-16,1102.17,1111.64,1100.64,1105.73,1573233.0
2018-05-17,1100.83,1105.12,1093.06,1099.54,1709526.0
2018-05-18,1096.15,1107.95,1096.12,1102.42,1759699.0
2018-05-21,1109.84,1111.56,1096.12,1102.77,1878452.0
2018-05-22,1110.36,1112.7,1094.12,1102.84,1633582.0
2018-05-23,1102.83,1113.46,1102.82,1107.87,1536121.0
2018-05-24,1110.12,1122.12,1107.12,1112.79,2038642.0
2018-05-25,1108.04,1116.27,1103.62,1109.36,1546175.0
2018-05-28,1109.91,1117.12,1105.32,1110.58,1414249.0
2018-05-29,1100.86,1106.87,1094.12,1101.12,2142064.0
2018-05-30,1105.12,1110.52,1098.12,1102.97,1861347.0
2018-05-31,1092.12,1097.12,1087.32,1092.23,2464712.0
2018-06-01,1103.12,1123.12,1102.12,1112.12,1847120.0
2018-06-04,1119.52,1131.12,1117.12,1123.86,1626231.0
2018-06-05,1124.12,1125.91,1114.12,1118.72,1617531.0
2018-06-06,1121.86,1129.36,1117.12,1123.53,1476175.0
2018-06-07,1116.12,1120.12,1113.12,1116.18,1522641.0
2018-06-08,1112.12,1118.12,1109.12,1112.8,1492614.0
2018-06-11,1109.52,1119.54,1107.12,1113.73,1387531.0
2018-06-12,1114.12,1121.95,1114.1,1118.08,1228614.0
2018-06-13,1122.12,1128.12,1117.52,1121.12,1537612.0
2018-06-14,1125.12,1130.12,1121.12,1126.52,1384613.0
2018-06-15,1125.12,1130.12,1122.12,1126.12,1917614.0
2018-06-18,1121.12,1123.85,1116.12,1120.03,1673145.0
2018-06-19,1117.72,1124.12,1116.12,1120.12,1648142.0
2018-06-20,1122.12,1132.12,1121.12,1126.42,1493753.0
2018-06-21,1127.12,1132.12,1119.32,1124.12,1684614.0
2018-06-22,1127.52,1132.12,1121.12,1125.12,1749614.0
2018-06-25,1122.12,1127.12,1115.12,1120.42,1852614.0
2018-06-26,1117.12,1124.12,1116.12,1119.52,1783614.0
2018-06-27,1121.52,1127.12,1110.12,1118.12,2075614.0
2018-06-28,1110.12,1112.95,1100.12,1105.12,2393614.0
2018-06-29,1109.12,1115.12,1101.12,1108.12,2159614.0
2018-07-02,1102.12,1112.12,1100.12,1107.12,1947614.0
2018-07-03,1110.12,1113.12,1104.12,1108.12,1259614.0
2018-07-04,1104.12,1110.12,1097.12,1101.12,1637614.0
2018-07-05,1106.12,1113.12,1101.12,1107.12,1567614.0
2018-07-06,1110.12,1123.12,1110.12,1116.12,1478614.0
2018-07-09,1121.12,1135.12,1118.12,1127.12,1583614.0
2018-07-10,1129.12,1136.12,1124.12,1130.12,1426614.0
2018-07-11,1124.12,1128.12,1119.12,1122.12,1539614.0
2018-07-12,1128.12,1143.12,1127.12,1135.12,1687614.0
2018-07-13,1132.12,1136.12,1128.12,1132.12,1429614.0
2018-07-16,1128.12,1130.12,1120.12,1125.12,1538614.0
2018-07-17,1122.12,1132.12,1121.12,1127.12,1694614.0
